year,avg_temp
1753,17.35
1754,17.47
1755,17.22
1756,17.92
1757,17.68
1758,16.07
1759,17.11
1760,16.61
1761,17.65
1762,17.55
1763,16.71
1764,17.65
1765,17.56
1766,17.50
1767,17.16
1768,16.05
1769,17.20
1770,17.15
1771,17.27
1772,18.29
1773,17.49
1774,17.88
1775,18.10
1776,17.07
1777,17.06
1778,17.81
1779,17.83
1780,17.93
1781,17.59
1782,17.02
1783,17.19
1784,17.25
1785,16.64
1786,17.11
1787,17.49
1788,17.64
1789,17.44
1790,17.49
1791,17.87
1792,17.31
1793,17.01
1794,17.57
1795,17.49
1796,17.53
1797,17.91
1798,17.74
1799,17.43
1800,17.73
1801,18.16
1802,18.27
1803,17.41
1804,17.70
1805,17.00
1806,17.66
1807,17.80
1808,16.59
1809,16.48
1810,16.76
1811,16.99
1812,16.27
1813,16.55
1814,16.51
1815,16.56
1816,16.14
1817,16.57
1818,17.10
1819,16.95
1820,17.07
1821,16.84
1822,17.26
1823,17.10
1824,17.77
1825,17.04
1826,16.90
1827,17.71
1828,17.22
1829,16.74
1830,17.25
1831,16.89
1832,16.17
1833,17.00
1834,17.12
1835,16.40
1836,16.97
1837,16.25
1838,16.44
1839,16.81
1840,16.60
1841,17.63
1842,16.85
1843,17.20
1844,16.88
1845,17.28
1846,18.02
1847,17.11
1848,17.38
1849,17.03
1850,16.47
1851,17.19
1852,17.40
1853,17.87
1854,16.73
1855,17.17
1856,16.78
1857,16.55
1858,16.56
1859,17.30
1860,18.05
1861,17.35
1862,17.67
1863,17.78
1864,16.92
1865,17.33
1866,17.72
1867,17.45
1868,17.49
1869,17.57
1870,17.36
1871,17.21
1872,18.07
1873,17.65
1874,16.91
1875,16.33
1876,17.56
1877,17.25
1878,17.59
1879,17.54
1880,16.97
1881,17.06
1882,16.59
1883,16.90
1884,16.75
1885,17.41
1886,17.41
1887,17.61
1888,16.93
1889,17.28
1890,17.29
1891,17.00
1892,17.77
1893,16.64
1894,17.05
1895,17.42
1896,17.12
1897,16.91
1898,17.57
1899,17.40
1900,17.71
1901,17.57
1902,17.36
1903,17.07
1904,17.11
1905,17.10
1906,17.07
1907,16.65
1908,16.75
1909,17.52
1910,17.21
1911,16.88
1912,17.19
1913,16.90
1914,16.91
1915,17.65
1916,18.30
1917,17.59
1918,17.63
1919,17.40
1920,16.88
1921,16.95
1922,17.86
1923,17.98
1924,17.68
1925,17.70
1926,18.12
1927,18.53
1928,17.77
1929,17.18
1930,17.92
1931,17.67
1932,17.69
1933,16.78
1934,18.08
1935,18.09
1936,17.90
1937,18.40
1938,17.62
1939,18.03
1940,17.13
1941,17.51
1942,17.38
1943,17.69
1944,17.47
1945,17.70
1946,18.29
1947,18.39
1948,17.18
1949,16.87
1950,18.08
1951,18.13
1952,18.61
1953,17.04
1954,17.50
1955,18.12
1956,17.12
1957,17.57
1958,17.94
1959,16.98
1960,18.24
1961,17.85
1962,18.19
1963,18.08
1964,17.19
1965,17.34
1966,18.37
1967,17.49
1968,17.70
1969,17.59
1970,17.80
1971,17.27
1972,17.28
1973,17.41
1974,17.34
1975,17.41
1976,16.79
1977,17.80
1978,17.40
1979,17.80
1980,17.34
1981,17.69
1982,17.11
1983,17.09
1984,17.53
1985,17.82
1986,17.82
1987,17.32
1988,17.66
1989,17.48
1990,18.05
1991,17.07
1992,17.13
1993,17.53
1994,18.47
1995,17.82
1996,17.46
1997,17.35
1998,18.15
1999,18.82
2000,18.20
2001,18.67
2002,18.33
2003,17.95
2004,18.07
2005,17.91
2006,17.78
2007,18.67
2008,18.61
2009,18.52
2010,19.30
2011,17.67
2012,18.82
2013,19.36
